Nama;Studi_Jurusan;Semester;AI_Tools;Trust_Level;Usage_Intensity_Score
Althaf Rayyan Putra;Teknologi Informasi;7;Gemini;4;8
Ayesha Kinanti;Teknologi Informasi;3;Gemini;4;9
Salsabila Nurfadila;Teknik Informatika;1;Gemini;5;3
Anindya Safira;Teknik Informatika;5;Gemini;4;6
Iqbal Ramadhan;Farmasi;1;Gemini;5;10+
Muhammad Rizky Pratama;Teknologi Informasi;5;Gemini;4;4
Fikri Alfarizi;Teknologi Informasi;1;ChatGPT;4;7
Iqbal Ramadhan;Farmasi;1;Gemini;5;9
Citra Maharani;Keperawatan;5;Multiple;4;2
Iqbal Ramadhan;Farmasi;3;Gemini;5;9
Zidan Harits;Farmasi;7;Gemini;4;4
Rizky Kurniawan Putra;Teknik Informatika;5;ChatGPT;4;3
Raka Bimantara;Farmasi;3;ChatGPT;4;4
Zahra Alya Safitri;Teknik Informatika;3;Gemini;4;10+
Muhammad Naufal Haidar;Farmasi;1;Gemini;4;3
Citra Maharani;Keperawatan;1;Copilot;5;8
Ammar Zaky Firmansyah;Farmasi;3;ChatGPT;5;7
Ilham Nurhadi;Teknologi Informasi;1;Gemini;5;9
Muhammad Rizky Pratama;Teknologi Informasi;1;Multiple;5;3
Nayla Syakira;Teknologi Informasi;7;ChatGPT;4;8
Zidan Harits;Farmasi;3;Gemini;5;10+
Citra Maharani;Keperawatan;5;ChatGPT;2;8
Arfan Maulana;Teknik Informatika;7;ChatGPT;1;2
Nabila Khairunnisa;Teknologi Informasi;1;Gemini;5;9
Safira Azzahra Putri;Teknologi Informasi;1;Gemini;5;7
Farah Amalia;Teknologi Informasi;1;ChatGPT;5;6
Muhammad Reza Ananda;Teknologi Informasi;1;ChatGPT;5;4
Citra Maharani;Keperawatan;5;ChatGPT;1;3
Aulia Rahma;Teknik Informatika;3;Gemini;1;2
Yusuf Al Hakim;Teknik Informatika;5;ChatGPT;3;8
Salsabila Nurfadila;Teknik Informatika;1;Multiple;4;3
Aulia Rahma;Teknik Informatika;5;ChatGPT;4;10+
Ayesha Kinanti;Teknologi Informasi;1;Copilot;3;4
Damar Alif Prakoso;Teknologi Informasi;7;ChatGPT;4;3
Zidan Harits;Farmasi;5;ChatGPT;2;7
Ammar Zaky Firmansyah;Farmasi;1;ChatGPT;4;10+
Citra Maharani;Keperawatan;3;Gemini;4;8
Nabila Khairunnisa;Teknologi Informasi;1;Copilot;5;6
Farah Amalia;Teknologi Informasi;7;ChatGPT;4;6
Ammar Zaky Firmansyah;Farmasi;1;Gemini;4;2
Zidan Harits;Farmasi;7;ChatGPT;2;1
Farah Amalia;Teknologi Informasi;5;ChatGPT;3;5
Ahmad Fauzan Maulana;Farmasi;1;Copilot;4;7
Khansa Humaira Zahira;Teknik Informatika;1;ChatGPT;4;7
Salsabila Nurfadila;Teknik Informatika;1;Multiple;3;5
Khansa Humaira Zahira;Teknik Informatika;3;ChatGPT;3;8
Nabila Khairunnisa;Teknologi Informasi;3;ChatGPT;1;3
Ahmad Fauzan Maulana;Farmasi;1;Gemini;2;7
Damar Alif Prakoso;Teknologi Informasi;3;Multiple;1;2
Muhammad Reza Ananda;Teknologi Informasi;7;ChatGPT;5;10+
Zahra Alya Safitri;Teknik Informatika;7;Copilot;4;5
Nayla Syakira;Teknologi Informasi;7;Multiple;3;8
